ParName   Value   Gradient
MGparm[2]           10  5.17793e-08
MGparm[3]      13.3327 -6.60924e-07
MGparm[4]     0.796564 -1.15832e-07
MGparm[5]         0.15  3.09606e-09
MGparm[6]     0.128835 -1.16848e-08
SR_parm[1]      6.87985 -3.14987e-06
recdev1(1989)     0.228335  4.07405e-08
recdev1(1990)     0.175904  4.40631e-08
recdev1(1991)   -0.0782896  1.77245e-08
recdev1(1992)    -0.266288  4.24844e-08
recdev1(1993)    -0.198713  3.18988e-08
recdev1(1994)    -0.161499   4.1721e-08
recdev1(1995)      0.17471 -8.63228e-09
recdev1(1996)    0.0940334 -4.74786e-09
recdev1(1997)     0.126545 -5.68052e-09
recdev1(1998)    -0.115743 -1.30942e-08
recdev1(1999)     0.134514 -5.79605e-09
recdev1(2000)     0.258783  1.87414e-09
recdev1(2001)     0.341788 -8.58087e-08
recdev1(2002)   -0.0506054  -1.0303e-08
recdev1(2003)    -0.337292  -5.9582e-09
recdev1(2004)      0.27721 -6.26324e-08
recdev1(2005)     0.560334 -7.77052e-08
recdev1(2006)   -0.0552973 -2.60534e-08
recdev1(2007)     -0.44548  4.83479e-08
recdev1(2008)    -0.346257   6.3356e-08
recdev1(2009)    -0.409255  1.60701e-07
recdev1(2010)      -0.1115  2.50713e-07
recdev1(2011)    -0.422748  1.85297e-07
recdev1(2012)   -0.0467064  4.91928e-07
recdev1(2013)     0.777668  3.02834e-07
recdev1(2014)       0.2994  9.18277e-08
recdev1(2015)    -0.650628 -6.78858e-08
recdev1(2016)   0.00451104 -2.34465e-07
recdev1(2017)     0.284101 -6.56914e-07
recdev1(2018)   -0.0415327 -6.20884e-07
Fcast_recruitments(2019)   -0.0539412 -1.04202e-06
Fcast_recruitments(2020)   -0.0656013 -1.30914e-06
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Q_parm[1]      8.45241 -4.22701e-07
Q_parm[2]      7.86576  3.65342e-07
selparm[1]      3.67189  4.45833e-08
selparm[2]      19.4539  1.30658e-08
selparm[3]      2.05415 -3.30382e-08
selparm[4]     0.268097  5.72763e-09
selparm[5]           10 -5.52937e-10
selparm[6]      2.97268  -3.8799e-09
