ParName   Value   Gradient
MGparm[2]           10  2.27467e-08
MGparm[3]      12.8353  1.97635e-05
MGparm[4]     0.998348  2.42415e-06
MGparm[5]         0.15 -1.14044e-08
MGparm[6]     0.142455 -4.26261e-07
SR_parm[1]      6.90637  7.24224e-05
recdev1(1989)     0.199945 -2.29673e-06
recdev1(1990)     0.160221 -2.28542e-06
recdev1(1991)   -0.0750117 -2.25597e-06
recdev1(1992)     -0.22986 -2.22872e-06
recdev1(1993)    -0.183998 -2.24077e-06
recdev1(1994)    -0.138587 -2.19087e-06
recdev1(1995)     0.185247 -2.20452e-06
recdev1(1996)      0.10453 -2.18769e-06
recdev1(1997)     0.135845 -2.33539e-06
recdev1(1998)    -0.157554 -2.21089e-06
recdev1(1999)     0.071333 -2.18914e-06
recdev1(2000)     0.265573 -2.12677e-06
recdev1(2001)     0.260406  -1.8119e-06
recdev1(2002)   -0.0661911 -2.02433e-06
recdev1(2003)    -0.381486 -1.99606e-06
recdev1(2004)     0.220968 -1.95291e-06
recdev1(2005)     0.524093 -1.54903e-06
recdev1(2006)   -0.0659235 -1.76156e-06
recdev1(2007)    -0.450217 -1.71566e-06
recdev1(2008)    -0.347268  -1.0285e-06
recdev1(2009)    -0.415811 -2.41351e-07
recdev1(2010)   -0.0306881  2.06995e-06
recdev1(2011)     -0.31725  2.65443e-06
recdev1(2012)     0.193216  3.84719e-06
recdev1(2013)     0.552729  1.44487e-05
recdev1(2014)     0.325104   2.1066e-05
recdev1(2015)    -0.714069  1.02879e-05
recdev1(2016)     -0.38828  1.43623e-05
recdev1(2017)      0.55816 -4.18294e-06
recdev1(2018)     0.431468 -7.58038e-06
recdev1(2019)    -0.258553 -7.19012e-06
recdev1(2020)     0.031907 -9.33151e-06
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Q_parm[1]      8.50535  4.84439e-06
Q_parm[2]      7.87497  4.88433e-06
selparm[1]      11.4184 -2.77535e-06
selparm[2]        17.24  3.95615e-07
selparm[3]     0.652466 -1.59357e-07
selparm[4]    0.0571939  3.91886e-07
selparm[5]           10 -8.42737e-09
selparm[6]      2.40394 -8.50481e-08
