ParName   Value   Gradient
MGparm[2]      5.42163 -6.24043e-07
MGparm[3]      12.0399  -7.5628e-07
MGparm[4]            2 -1.15734e-07
MGparm[5]         0.15 -1.30338e-07
MGparm[6]         0.15 -2.21933e-08
SR_parm[1]      12.7448 -9.04379e-06
recdev1(1989)    0.0268353  2.96056e-07
recdev1(1990)      0.24098  -2.3357e-07
recdev1(1991)    -0.111363  1.11421e-07
recdev1(1992)    -0.219323  3.59238e-07
recdev1(1993)    -0.174629  2.67464e-07
recdev1(1994)    -0.236741  4.01832e-07
recdev1(1995)     0.221385  2.24232e-07
recdev1(1996)     0.288611  3.97439e-07
recdev1(1997)    0.0768126  5.52764e-07
recdev1(1998)     0.186545  3.45727e-07
recdev1(1999)     0.166322 -6.16084e-08
recdev1(2000)     0.021407  3.72976e-08
recdev1(2001)    0.0803044  3.89337e-07
recdev1(2002)    -0.154516 -2.41446e-07
recdev1(2003)     -0.27795 -8.25607e-07
recdev1(2004)     0.850756 -1.24687e-06
recdev1(2005)     0.538745 -1.18138e-06
recdev1(2006)   -0.0396506 -1.20364e-06
recdev1(2007)     -0.17772  1.53408e-07
recdev1(2008)    -0.317547 -4.87262e-08
recdev1(2009)    -0.163399  2.75024e-07
recdev1(2010)    -0.282173 -1.57162e-07
recdev1(2011)    -0.367141   6.5118e-08
recdev1(2012)     0.787962  4.80867e-07
recdev1(2013)   -0.0643443 -2.71112e-08
recdev1(2014)   0.00934082  3.21672e-07
recdev1(2015)    -0.833386  2.66869e-07
recdev1(2016)   -0.0721123   2.5135e-07
recdev1(2017)  -0.00401026  4.64604e-08
Fcast_recruitments(2018)            0 -4.37662e-15
Fcast_recruitments(2019)            0 -2.92389e-15
Fcast_recruitments(2020)            0 -1.02402e-15
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Q_parm[1]      1.99998  -6.0857e-09
Q_parm[2]      1.70672 -6.04035e-07
selparm[1]      7.73585  1.73192e-06
selparm[2]      2.37025 -3.44812e-09
selparm[3]            8  5.30326e-08
selparm[4]      3.28308  2.52697e-07
selparm[5]           10  2.44883e-08
selparm[6]      1.04966 -3.18603e-07
