"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1989,"16,125","NA","16,125","NA","0",1317.94,"0.526",0.0817311925979672
1990,"20,545","NA","20,545","NA","0",2588.65,"0.585",0.126000253105409
1991,"16,383","7,261","16,383","NA","0",1336.25,"0.635",0.081562210068851
1992,"13,576","NA","13,576","NA","0",111.41,"0.451",0.00820651453321351
1993,"12,058","NA","12,058","NA","1,185",2300.36,"0.349",0.190771425254184
1994,"18,276","NA","18,276","NA","0",1571.01,"0.495",0.0859612164720559
1995,"15,554","5,322","15,554","NA","0",1182.22,"0.111",0.0760069692235488
1996,"13,156","NA","13,156","NA","0",765.474,"0.258",0.0581830757887856
1997,"11,191","NA","11,191","NA","1,123",1049.15,"0.481",0.0937486038012349
1998,"18,277","NA","18,277","NA","0",3692.73,"0.768",0.202039141448682
1999,"13,578","4,507","13,578","NA","0",701.617,"0.760",0.0516730740904404
2000,"11,838","NA","11,838","NA","0",273.876,"0.406",0.0231355223477137
2001,"10,484","NA","10,484","NA","858",1125.13,"0.758",0.107322866191003
2002,"15,401","NA","15,401","NA","0",1368.15,"0.771",0.0888357173931394
2003,"13,036","4,907","13,036","NA","0",499.605,"0.692",0.0383247290217166
2004,"11,469","NA","11,469","NA","0",3.82,"0.765",0.000333080471195515
2005,"10,359","NA","10,359","NA","688",766.822,"0.667",0.0740225690925062
2006,"14,197","NA","14,197","NA","0",921.209,"0.532",0.0648875818834965
2007,"12,247","5,113","12,247","NA","0",166.867,"0.589",0.0136255777113648
2008,"10,994","NA","10,994","NA","0",105.053,"0.477",0.00955557172613904
2009,"9,792","NA","9,792","NA","755",689.675,"0.492",0.0704358047865811
2010,"14,279","NA","14,279","NA","0",2055.27,"0.531",0.143934534147571
2011,"11,276","4,355","11,276","NA","0",210.042,"0.778",0.018628176134096
2012,"10,100","NA","10,100","NA","0",80.47,"0.811",0.00796764228286269
2013,"9,034","NA","9,034","NA","785",185.366,"0.814",0.0205184799814038
2014,"14,354","NA","14,354","NA","0",79.8917,"0.757",0.00556589195892377
2015,"13,275","5,009","13,275","NA","0",147.933,"0.672",0.0111433930427708
2016,"12,002","NA","12,002","NA","0",157.423,"0.794",0.0131158508644032
2017,"10,687","NA","10,687","NA","1,120",41.043,"0.862",0.00384060412104879
2018,"18,748","NA","18,748","NA","0",807.195,"0.780",0.0430540739476435
2019,"16,765","5,717","16,765","NA","0",585.565,"0.712",0.0349280341666219
2020,"14,852","NA","14,852","NA","0",397.607,"0.839",0.0267718173677087
2021,"13,080","NA","13,080","NA","1,045",907.84,"0.886",0.0694056665800217
2022,"19,463","NA","19,463","NA","0",1110.05,"0.000",0.0570326869919952
1989,"17,040","6,560","17,040","NA","0",2006.93,"0.526",0.117776199809861
1990,"13,688","NA","13,688","NA","0",588.393,"0.585",0.0429873023758731
1991,"11,810","NA","11,810","NA","1,097",1781.42,"0.635",0.150846352512807
1992,"17,893","NA","17,893","NA","0",2175.55,"0.451",0.121584615470595
1993,"14,625","5,124","14,625","NA","0",2909.44,"0.349",0.19893198771991
1994,"10,673","NA","10,673","NA","0",2716.01,"0.495",0.254477227370256
1995,"7,118","NA","7,118","NA","843",1638.33,"0.111",0.230170415431518
1996,"11,760","NA","11,760","NA","0",1994.94,"0.258",0.169642082706191
1997,"9,161","2,755","9,161","NA","0",1615.92,"0.481",0.176400658915279
1998,"6,934","NA","6,934","NA","0",691.379,"0.768",0.0997081062527852
