"Year","Age0","Age1","Age2","Age3","Age4"
1989,0.0647544,6682.34,4343.63,2452.31,2646.97
1990,7213.76,5782.23,3546.86,1944.24,2057.74
1991,6419.93,4546.74,2613.38,1379.52,1423.6
1992,5743.03,3706.13,2029.23,1041.97,1055.44
1993,0.0841734,5331.28,3240.46,1726.64,1759.7
1994,8952.5,4344.07,2462.31,1262.63,1254.32
1995,8222.83,3558.63,1905.43,946.596,920.598
1996,7366.34,2906.08,1482.8,716.758,684.344
1997,0.079711,6535.2,2395.86,1175.93,1084.06
1998,8884.3,5658.51,1957.87,933.1,843.518
1999,7261.48,3984.33,1263.92,570.713,497.597
2000,6644.12,3344.18,1016.42,448.377,384.835
2001,0.060938,6082.36,2871.57,846.327,683.274
2002,6719.39,5193.57,2307.8,659.099,521.08
2003,6151.48,4236.43,1776.77,491.303,380.098
2004,5700.59,3614.98,1457.38,394.656,301.052
2005,0.0488529,5326.31,3187.46,1252.61,592.843
2006,5469.12,4638.33,2622.72,1001.65,465.134
2007,5123.71,3898.44,2092.88,777.305,354.263
2008,4853.67,3422.77,1776.28,648.8,292.377
2009,0.0535809,4499.62,2987.48,1508.25,796.146
2010,6022.65,3938.97,2473.61,1214.58,629.375
2011,5248.27,3013.92,1763.97,830.729,418.595
2012,4950.22,2631.37,1487.1,688.182,342.686
2013,0.0557072,4595.13,2300.63,1265.28,873.009
2014,6423.92,4158.32,1982.13,1065.43,724.003
2015,6327.66,3729.86,1709.81,902.368,605.699
2016,6006.08,3283.21,1455.64,755.803,501.754
2017,0.0795386,5550.25,2853.84,1229.89,1052.57
2018,9246.48,5075.57,2489.82,1050.33,886.226
2019,8818.09,4365.58,2042.53,840.79,697.856
2020,8195.25,3739.09,1682.85,678.785,555.709
2021,0.0741846,7479.78,3198.15,1394.69,1007.54
2022,8341.78,6551.07,2649.63,1123.89,797.066
1989,7861.86,5548.98,2134.1,881.319,613.914
1990,6771.67,4306.34,1562.46,623.134,424.005
1991,0.0779159,6092.49,3615.46,1266.39,835.083
1992,8429.06,5075.01,2820.77,953.94,614.498
1993,7481.68,3976.96,2069.86,673.741,423.026
1994,5919.91,2764.66,1328.27,410.819,249.246
1995,0.0598264,4263.15,1738.93,761.85,353.912
1996,6270.82,3408.58,1291.74,543.108,245.468
1997,5284.83,2497.38,874.535,350.417,153.352
1998,4261.98,1779.49,578.045,220.882,93.6319
1999,0.0783406,3621.12,1387.05,428.642,227.94
2000,8896.65,3212.46,1166.95,351.425,183.693
2001,8421.94,2736.7,946.374,277.708,142.659
2002,7672.03,2283.91,755.862,216.508,109.423
2003,0.0899463,6806.46,1882.95,599.441,254.538
2004,9996.36,5871.48,1531.88,473.281,196.997
2005,8319.45,4232.37,1017.08,298.747,120.21
2006,6262.54,2757.89,604.029,166.984,64.5129
2007,0.0942073,5253.18,2114.29,439.092,164.204
2008,10059.5,4302.52,1616.5,323.322,117.917
2009,8338.81,3085.46,1066.66,202.679,71.4213
2010,6426.99,2073.03,657.123,118.048,40.0608
2011,0.0607756,5513.12,1636.06,494.583,116.892
2012,6653.72,4664.03,1300.32,380.393,87.9582
2013,5456.79,3298.55,843.866,234.039,52.2172
2014,4770.67,2609.83,632.292,169.834,37.0846
2015,0.0510986,4253.37,2165.46,505.301,164.553
2016,5411.66,3446.68,1634.61,366.775,116.362
2017,4516.51,2493.56,1090.04,232.655,71.3804
2018,3629.02,1768.33,716.391,145.716,43.2841
2019,0.0852759,3051.44,1359.89,522.719,135.082
2020,9094.02,2495.02,1037.62,384.03,96.7687
2021,7584.18,1803.34,691.146,243.288,59.2793
2022,6806.3,1476.06,539.337,184.788,44.2133
1989,0.119442,6304.83,1287.02,457.393,194.694
1990,13172.9,5384.87,1034.65,356.326,148.531
1991,11461.1,4111.81,736.017,243.042,98.4954
1992,10727,3554.12,613.093,198.643,79.476
1993,0.0644295,10013.7,3130.14,526.217,238.508
1994,7038.35,8447.47,2479.38,403.183,178.739
1995,6244.68,6616.17,1818.18,284.551,122.95
1996,5494.55,5278.41,1375.94,208.808,88.3715
1997,0.0422051,5004.89,4503.14,1136.81,243.806
1998,4762.87,4403.94,3751.67,921.84,194.176
1999,4407.77,3643.12,2937.37,700.252,144.539
2000,3954.6,2980.88,2291.2,531.619,107.749
2001,0.0503853,3514.86,2463.4,1822.23,506.005
2002,5688.7,3094.72,2053.81,1478.85,403.356
2003,5161,2494.94,1559.16,1085.1,289.284
2004,4543.47,1991.85,1180.9,797.006,208.133
2005,0.0431535,4193.85,1728.8,995.993,848.568
2006,5003.96,3822.59,1502.35,846.83,711.08
2007,4358.02,2922.66,1070.38,578.609,472.42
2008,3828.04,2326.6,807.904,423.341,338.483
2009,0.0627157,3485.08,1983.53,666.957,619.174
2010,6714.6,2864.22,1522.79,493.385,446.85
2011,5514.26,2029.26,990.339,304.283,265.957
2012,4210.03,1346.79,601.212,174.327,146.561
2013,0.0440496,3617.49,1065.22,453.688,234.84
