"Quantity","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","1158.9","2433.47","1219.58","26.3829","434.466","1837.29","2685.41","276.572","1754.34","3553.27","3299.71"
"438.975","1470.64","2424.78","1880.44","1174.23","1351.94","2267.35","2253.82","868.779","1051.18","2213.05","1140.53"
"206.378","235.826","2391.32","1413.98","457.768","322.281","1620.62","1889.19","981.521","1286.49","2314.54","2603.51"
"1113.04","644.267","3500.45","2796.18","622.915","NA","1-SPR","0.81","0.81","0.76","0.67","0.79"
"0.86","0.78","0.71","0.84","0.89","NA","Exploitation Rate","0.90","1.31","2.61","0.64","0.67"
"1.05","1.76","1.06","1.30","1.73","NA","Age 0+ Biomass (mt)","5,371","8,840","5,998","4,393","3,982"
"9,306","7,095","4,063","3,469","20,119","16,163","12,157","10,869","18,519","15,166","12,253","10,053"
"11,823","8,734","5,808","4,402","6,976","4,431","3,011","2,551","9,810","7,160","5,395","4,552"
"11,639","9,576","7,152","5,638","11,802","9,010","5,920","4,374","11,386","7,528","4,386","20,545"
"Spawning Biomass (mt)","1,782","1,617","1,364","4,789","3,970","1,312","970","2,075","2,161","1,462","1,952"
"Interval","-631–4,194","-247–3,482","688–2,040","720–8,858","1,322–6,619","-306–2,931","-680–2,619","-2,057–6,207","-1,888–6,210","-1,220–4,144","568–3,335"
"Recruits","744","2,265","1,214","494","493","937","945","962","975","912","912"
"Interval","385–1,439","1,291–3,973","712–2,072","245–995","224–1,084","317–2,771","333–2,688","369–2,512","416–2,288","300–2,773","694–1,199"
"Fraction Unfished","0.2","0.2","0.1","0.5","0.4","0.1","0.1","0.2","0.2","0.2","0.2"
"Interval","-0.1–0.4","-0.0–0.4","0.1–0.2","0.1–0.9","0.2–0.7","-0.0–0.3","-0.1–0.3","-0.2–0.7","-0.2–0.7","-0.1–0.5","0.1–0.4"
