ParName   Value   Gradient
MGparm[2]      7.92423  1.20465e-06
MGparm[3]      16.3842  7.90973e-06
MGparm[4]     0.772874 -1.77007e-06
MGparm[5]         0.15  1.03428e-06
MGparm[6]     0.089235  1.06333e-06
SR_parm[1]      10.8566  1.81743e-05
recdev1(2000)      1.28091  1.96085e-06
recdev1(2001)      1.29547  6.96117e-06
recdev1(2002)      1.10148 -2.02695e-07
recdev1(2003)     0.653326 -3.80172e-06
recdev1(2004)     0.313297 -3.46496e-06
recdev1(2005)     0.603298 -2.62562e-06
recdev1(2006)    -0.852577   4.5857e-06
recdev1(2007)    -0.128588  1.11374e-05
recdev1(2008)   -0.0812664  1.61288e-06
recdev1(2009)    -0.932106   2.3933e-06
recdev1(2010)    -0.536504 -4.03626e-06
recdev1(2011)    -0.106628 -3.25578e-06
recdev1(2012)    -0.839801  1.31844e-06
recdev1(2013)     0.106315    7.472e-06
recdev1(2014)    -0.411885 -2.96305e-06
recdev1(2015)     -2.20409  7.50432e-07
recdev1(2016)    -0.174909  4.84648e-06
recdev1(2017)     0.914248  5.61331e-07
Fcast_recruitments(2018)            0            0
Q_parm[1]     -1.11469  4.88315e-06
Q_parm[2]    -0.211076  2.02022e-05
selparm[1]      10.1045 -9.87038e-06
selparm[2]      4.00474  1.28412e-05
selparm[3]      4.96081  1.42882e-07
selparm[4]    0.0024917 -1.55016e-07
selparm[5]      7.06076  1.50252e-07
selparm[6]  0.000625275 -3.14545e-07
